Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: ds=0, gs=0, length=1u, sb=0",,,,,,
1,dc_sweep,cgg_nmos_svt,53.26e-15,,,
1,dc_sweep,cdd_nmos_svt,3.685e-15,,,
1,dc_sweep,css_nmos_svt,3.697e-15,,,
1,dc_sweep,gm_nmos_svt,0,,,
1,dc_sweep,gmb_nmos_svt,0,,,
1,dc_sweep,gds_nmos_svt,4.232e-9,,,
1,dc_sweep,id_nmos_svt,-0,,,
1,dc_sweep,sth_nmos_svt,83.05e-30,,,
1,dc_sweep,sfl_nmos_svt,0,,,
1,dc_sweep,cgg_pmos_svt,82.63e-15,,,
1,dc_sweep,cdd_pmos_svt,6.533e-15,,,
1,dc_sweep,css_pmos_svt,6.229e-15,,,
1,dc_sweep,gm_pmos_svt,0,,,
1,dc_sweep,gmb_pmos_svt,0,,,
1,dc_sweep,gds_pmos_svt,175.1e-12,,,
1,dc_sweep,id_pmos_svt,-0,,,
1,dc_sweep,sth_pmos_svt,4.504e-30,,,
1,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=0, length=1u, sb=250m",,,,,,
2,dc_sweep,cgg_nmos_svt,45.83e-15,,,
2,dc_sweep,cdd_nmos_svt,3.704e-15,,,
2,dc_sweep,css_nmos_svt,3.71e-15,,,
2,dc_sweep,gm_nmos_svt,0,,,
2,dc_sweep,gmb_nmos_svt,0,,,
2,dc_sweep,gds_nmos_svt,1.381e-9,,,
2,dc_sweep,id_nmos_svt,91.14e-18,,,
2,dc_sweep,sth_nmos_svt,26.98e-30,,,
2,dc_sweep,sfl_nmos_svt,0,,,
2,dc_sweep,cgg_pmos_svt,71.65e-15,,,
2,dc_sweep,cdd_pmos_svt,6.709e-15,,,
2,dc_sweep,css_pmos_svt,6.533e-15,,,
2,dc_sweep,gm_pmos_svt,0,,,
2,dc_sweep,gmb_pmos_svt,0,,,
2,dc_sweep,gds_pmos_svt,57.54e-12,,,
2,dc_sweep,id_pmos_svt,-156.9e-18,,,
2,dc_sweep,sth_pmos_svt,1.469e-30,,,
2,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=0, length=1u, sb=500m",,,,,,
3,dc_sweep,cgg_nmos_svt,41.1e-15,,,
3,dc_sweep,cdd_nmos_svt,3.712e-15,,,
3,dc_sweep,css_nmos_svt,3.715e-15,,,
3,dc_sweep,gm_nmos_svt,0,,,
3,dc_sweep,gmb_nmos_svt,0,,,
3,dc_sweep,gds_nmos_svt,523.2e-12,,,
3,dc_sweep,id_nmos_svt,91.15e-18,,,
3,dc_sweep,sth_nmos_svt,10.19e-30,,,
3,dc_sweep,sfl_nmos_svt,0,,,
3,dc_sweep,cgg_pmos_svt,64.61e-15,,,
3,dc_sweep,cdd_pmos_svt,6.803e-15,,,
3,dc_sweep,css_pmos_svt,6.694e-15,,,
3,dc_sweep,gm_pmos_svt,0,,,
